Run Description: Experiment # 1.2: RIMDecay tuned 
Log file created at 2021/07/26  18:36:40
Directory: mimic//0726-18-36-40
Start time: 2021-07-26 18:36:40.692683
Training initiated with custom loss function
{'epochs': 100, 'batch_size': 56, 'input_size': 104, 'model_type': 'RIMDecay', 'hidden_size': 104, 'num_rims': 2, 'lr': 9.645142728701031e-05, 'rnn_cell': 'GRU', 'input_key_size': 64, 'input_value_size': 32, 'input_query_size': 64, 'num_input_heads': 1, 'input_dropout': 0.2694669454300502, 'comm_key_size': 32, 'comm_value_size': 104, 'comm_query_size': 32, 'num_comm_heads': 1, 'comm_dropout': 0.12824679075614986, 'active_rims': 2, 'mask': True, 'mask_size': 104, 'delta_size': 104, 'static_features': 17, 'need_data_preprocessing': False, 'raw_data_file_path': 'data/10_percent/all_hourly_data.pkl', 'processed_data_path': 'data/50_percent/', 'input_file_path': 'data/mimic_iii/test_dump/decay_data_20926.npz', 'decay_input_file_path': 'data/mimic_iii/test_dump/decay_data_20926.npz', 'max_no_improvement': 10, 'improvement_threshold': 0.0001, 'is_tuning': False, 'balance': False}
Model Arch: 
 MIMICDecayCBLossModel(
  (rim_decay_cell): RIMDCell(
    (gamma_x_l): CustomLinear(in_features=104, out_features=104, bias=True)
    (gamma_h_l): CustomLinear(in_features=104, out_features=104, bias=True)
    (input_key_layer): CustomLinear(in_features=104, out_features=64, bias=False)
    (input_value_layer): CustomLinear(in_features=104, out_features=32, bias=False)
    (input_dropout): Dropout(p=0.2694669454300502, inplace=False)
    (rnn): GroupGRUCell(
      (input_hidden): GroupLinear(in_features=136, out_features=312, num_blocks=2, bias=True)
      (hidden_hidden): GroupLinear(in_features=104, out_features=312, num_blocks=2, bias=True)
    )
    (input_query_layer): GroupLinear(in_features=104, out_features=64, num_blocks=2, bias=False)
    (comm_key_layer): GroupLinear(in_features=104, out_features=32, num_blocks=2, bias=False)
    (comm_value_layer): GroupLinear(in_features=104, out_features=104, num_blocks=2, bias=False)
    (comm_query_layer): GroupLinear(in_features=104, out_features=32, num_blocks=2, bias=False)
    (comm_attention_output): GroupLinear(in_features=104, out_features=104, num_blocks=2, bias=False)
    (comm_dropout): Dropout(p=0.12824679075614986, inplace=False)
  )
  (linear_one): Linear(in_features=225, out_features=10, bias=True)
  (linear_two): Linear(in_features=10, out_features=2, bias=True)
  (relu): ReLU()
)
Training, Validating, and Testing: RIMDecay model with GRU cell 
***********************************************************
**************** EPOCH: 1 ***********************
epoch loss: 62.857343297451735, taining accuracy: 0.7986755871108684, validation accuracy: 0.7734225621414914, Test accuracy: 0.7654557042702358 , F1-score: 0.41646090534979424
epoch loss: 44.906615398824215, taining accuracy: 0.8028399781540142, validation accuracy: 0.7785213511790949, Test accuracy: 0.7740599107711919 , F1-score: 0.45390070921985815
***********************************************************
**************** EPOCH: 15 ***********************
epoch loss: 44.220026053488255, taining accuracy: 0.8120562534134352, validation accuracy: 0.8052899936265137, Test accuracy: 0.8001912045889101 , F1-score: 0.4745470232959448
***********************************************************
**************** EPOCH: 16 ***********************
epoch loss: 44.79037444666028, taining accuracy: 0.8141725832878208, validation accuracy: 0.812938177182919, Test accuracy: 0.8103887826641173 , F1-score: 0.47907390917186105
***********************************************************
**************** EPOCH: 17 ***********************
epoch loss: 43.12302864342928, taining accuracy: 0.8162889131622064, validation accuracy: 0.8173996175908221, Test accuracy: 0.8135755258126195 , F1-score: 0.4813805631244323
Early Stopping @ EPOCH:[16]
***********************************************************
**************** EPOCH: 18 ***********************
epoch loss: 44.505818381905556, taining accuracy: 0.8244811578372474, validation accuracy: 0.8205863607393244, Test accuracy: 0.818674314850223 , F1-score: 0.488605287146764
***********************************************************
**************** EPOCH: 19 ***********************
epoch loss: 42.26680230163038, taining accuracy: 0.8175177498634626, validation accuracy: 0.8202676864244742, Test accuracy: 0.8234544295729764 , F1-score: 0.4805914972273568
***********************************************************
**************** EPOCH: 20 ***********************
epoch loss: 42.39441183581948, taining accuracy: 0.8213407973784818, validation accuracy: 0.8119821542383684, Test accuracy: 0.8119821542383684 , F1-score: 0.48148148148148145
***********************************************************
**************** EPOCH: 21 ***********************
epoch loss: 41.545784037560225, taining accuracy: 0.820180229382851, validation accuracy: 0.8103887826641173, Test accuracy: 0.8110261312938177 , F1-score: 0.4820960698689956
***********************************************************
**************** EPOCH: 22 ***********************
epoch loss: 40.89246318861842, taining accuracy: 0.820999453850355, validation accuracy: 0.8072020395156151, Test accuracy: 0.8119821542383684 , F1-score: 0.47701647875108405
***********************************************************
**************** EPOCH: 23 ***********************
epoch loss: 42.737371971830726, taining accuracy: 0.828782086291644, validation accuracy: 0.7989165073295093, Test accuracy: 0.7982791586998088 , F1-score: 0.47098402018502944
***********************************************************
**************** EPOCH: 24 ***********************
epoch loss: 40.749593583866954, taining accuracy: 0.8247542326597488, validation accuracy: 0.8072020395156151, Test accuracy: 0.8110261312938177 , F1-score: 0.4742807323452484
***********************************************************
**************** EPOCH: 25 ***********************
epoch loss: 39.98441410250962, taining accuracy: 0.824617695248498, validation accuracy: 0.8260038240917782, Test accuracy: 0.8177182919056724 , F1-score: 0.4962962962962964
***********************************************************
**************** EPOCH: 26 ***********************
epoch loss: 39.452256011776626, taining accuracy: 0.8308301474604042, validation accuracy: 0.8148502230720204, Test accuracy: 0.8202676864244742 , F1-score: 0.47506799637352676
***********************************************************
**************** EPOCH: 27 ***********************
epoch loss: 39.54314314201474, taining accuracy: 0.8300109229929, validation accuracy: 0.8215423836838751, Test accuracy: 0.8237731038878267 , F1-score: 0.48618784530386744
***********************************************************
**************** EPOCH: 28 ***********************
epoch loss: 38.750964894890785, taining accuracy: 0.8370425996723102, validation accuracy: 0.840025493945188, Test accuracy: 0.8438495857233907 , F1-score: 0.500998003992016
***********************************************************
**************** EPOCH: 29 ***********************
epoch loss: 40.18975527770817, taining accuracy: 0.8349262697979246, validation accuracy: 0.8196303377947738, Test accuracy: 0.818674314850223 , F1-score: 0.49005424954792043
***********************************************************
**************** EPOCH: 30 ***********************
epoch loss: 38.159857901744545, taining accuracy: 0.8382714363735664, validation accuracy: 0.8403441682600382, Test accuracy: 0.8374760994263862 , F1-score: 0.5093411996066863
***********************************************************
**************** EPOCH: 31 ***********************
epoch loss: 38.39491880685091, taining accuracy: 0.8420262151829602, validation accuracy: 0.825685149776928, Test accuracy: 0.8237731038878267 , F1-score: 0.4920782851817334
***********************************************************
**************** EPOCH: 32 ***********************
epoch loss: 37.990245098248124, taining accuracy: 0.8368377935554342, validation accuracy: 0.8272785213511791, Test accuracy: 0.8247291268323773 , F1-score: 0.49248120300751874
***********************************************************
**************** EPOCH: 33 ***********************
epoch loss: 36.84252358041704, taining accuracy: 0.843801201529219, validation accuracy: 0.8355640535372849, Test accuracy: 0.8403441682600382 , F1-score: 0.4950884086444008
***********************************************************
**************** EPOCH: 34 ***********************
epoch loss: 36.171975053846836, taining accuracy: 0.8460540688148552, validation accuracy: 0.8588272785213512, Test accuracy: 0.8524537922243467 , F1-score: 0.5283422459893049
***********************************************************
**************** EPOCH: 35 ***********************
epoch loss: 35.7792466012761, taining accuracy: 0.8509694156198798, validation accuracy: 0.819949012109624, Test accuracy: 0.8240917782026769 , F1-score: 0.4820607175712971
***********************************************************
**************** EPOCH: 36 ***********************
epoch loss: 36.915939984843135, taining accuracy: 0.8435281267067176, validation accuracy: 0.8362014021669854, Test accuracy: 0.834289356277884 , F1-score: 0.4990215264187866
***********************************************************
**************** EPOCH: 37 ***********************
epoch loss: 35.50123785529286, taining accuracy: 0.8532222829055162, validation accuracy: 0.8502230720203952, Test accuracy: 0.8425748884639898 , F1-score: 0.5155279503105591
***********************************************************
**************** EPOCH: 38 ***********************
epoch loss: 35.79263475816697, taining accuracy: 0.8549290005461496, validation accuracy: 0.8403441682600382, Test accuracy: 0.840025493945188 , F1-score: 0.5093411996066863
***********************************************************
**************** EPOCH: 39 ***********************
epoch loss: 34.396972611546516, taining accuracy: 0.8548607318405244, validation accuracy: 0.831421287444232, Test accuracy: 0.8387507966857871 , F1-score: 0.4878522837706512
***********************************************************
**************** EPOCH: 40 ***********************
epoch loss: 34.10694016516209, taining accuracy: 0.8544511196067722, validation accuracy: 0.811344805608668, Test accuracy: 0.8078393881453155 , F1-score: 0.476950354609929
***********************************************************
**************** EPOCH: 41 ***********************
epoch loss: 33.42862529028207, taining accuracy: 0.8588885854724194, validation accuracy: 0.8397068196303378, Test accuracy: 0.8403441682600382 , F1-score: 0.4964824120603014
***********************************************************
**************** EPOCH: 42 ***********************
epoch loss: 32.94990072026849, taining accuracy: 0.8610731840524304, validation accuracy: 0.8189929891650733, Test accuracy: 0.8224984066284258 , F1-score: 0.48073394495412836
***********************************************************
**************** EPOCH: 43 ***********************
epoch loss: 35.20769714936614, taining accuracy: 0.8541780447842708, validation accuracy: 0.8142128744423199, Test accuracy: 0.8240917782026769 , F1-score: 0.4635272391505078
***********************************************************
**************** EPOCH: 44 ***********************
epoch loss: 33.15945727284998, taining accuracy: 0.8637356635718186, validation accuracy: 0.8275971956660293, Test accuracy: 0.8266411727214786 , F1-score: 0.4919886899151743
***********************************************************
**************** EPOCH: 45 ***********************
epoch loss: 32.14850835688412, taining accuracy: 0.8653741125068268, validation accuracy: 0.8301465901848311, Test accuracy: 0.8330146590184832 , F1-score: 0.4908916586768936
***********************************************************
**************** EPOCH: 46 ***********************
epoch loss: 32.16325358953327, taining accuracy: 0.867217367558711, validation accuracy: 0.801465901848311, Test accuracy: 0.8068833652007649 , F1-score: 0.4687767322497861
***********************************************************
**************** EPOCH: 47 ***********************
epoch loss: 31.229344107210636, taining accuracy: 0.8672856362643364, validation accuracy: 0.801465901848311, Test accuracy: 0.8033779477374123 , F1-score: 0.4669527896995708
***********************************************************
**************** EPOCH: 48 ***********************
epoch loss: 31.73225310444832, taining accuracy: 0.8687192790824686, validation accuracy: 0.8419375398342893, Test accuracy: 0.8473550031867432 , F1-score: 0.49796747967479676
***********************************************************
**************** EPOCH: 49 ***********************
epoch loss: 32.93733703624457, taining accuracy: 0.8661250682687056, validation accuracy: 0.8049713193116634, Test accuracy: 0.812938177182919 , F1-score: 0.46397188049209137
***********************************************************
**************** EPOCH: 50 ***********************
epoch loss: 30.571032712236047, taining accuracy: 0.8676269797924632, validation accuracy: 0.8432122370936902, Test accuracy: 0.8438495857233907 , F1-score: 0.5
***********************************************************
**************** EPOCH: 51 ***********************
epoch loss: 30.352319148369133, taining accuracy: 0.8765019115237576, validation accuracy: 0.8202676864244742, Test accuracy: 0.8298279158699808 , F1-score: 0.46780303030303033
***********************************************************
**************** EPOCH: 52 ***********************
epoch loss: 29.991612629964948, taining accuracy: 0.8768432550518842, validation accuracy: 0.8282345442957297, Test accuracy: 0.8326959847036329 , F1-score: 0.48115942028985503
***********************************************************
**************** EPOCH: 53 ***********************
epoch loss: 29.09200639091432, taining accuracy: 0.8777307482250136, validation accuracy: 0.8075207138304653, Test accuracy: 0.818674314850223 , F1-score: 0.45960502692998206
***********************************************************
**************** EPOCH: 54 ***********************
epoch loss: 29.505468433722854, taining accuracy: 0.8706308028399782, validation accuracy: 0.7909496494582536, Test accuracy: 0.801465901848311 , F1-score: 0.4504201680672269
***********************************************************
**************** EPOCH: 55 ***********************
epoch loss: 29.091660108417273, taining accuracy: 0.8786865101037684, validation accuracy: 0.8323773103887827, Test accuracy: 0.8320586360739325 , F1-score: 0.48828125000000006
***********************************************************
**************** EPOCH: 56 ***********************
epoch loss: 27.922732619568706, taining accuracy: 0.8802566903331512, validation accuracy: 0.8154875717017208, Test accuracy: 0.8151688973868706 , F1-score: 0.4749772520473157
***********************************************************
**************** EPOCH: 57 ***********************
epoch loss: 27.61331595852971, taining accuracy: 0.8784817039868924, validation accuracy: 0.7903123008285532, Test accuracy: 0.7906309751434034 , F1-score: 0.45963756177924214
***********************************************************
**************** EPOCH: 58 ***********************
epoch loss: 27.69207235518843, taining accuracy: 0.8800518842162752, validation accuracy: 0.840025493945188, Test accuracy: 0.8374760994263862 , F1-score: 0.4989979959919839
***********************************************************
**************** EPOCH: 59 ***********************
epoch loss: 27.44609438907355, taining accuracy: 0.8808711086837794, validation accuracy: 0.8231357552581262, Test accuracy: 0.8333333333333334 , F1-score: 0.4817244611059044
***********************************************************
**************** EPOCH: 60 ***********************
epoch loss: 27.11131054535508, taining accuracy: 0.884216275259421, validation accuracy: 0.8218610579987253, Test accuracy: 0.8263224984066284 , F1-score: 0.4649375600384246
***********************************************************
**************** EPOCH: 61 ***********************
epoch loss: 28.102237631566823, taining accuracy: 0.8830557072637902, validation accuracy: 0.8224984066284258, Test accuracy: 0.8266411727214786 , F1-score: 0.462729912875121
***********************************************************
**************** EPOCH: 62 ***********************
epoch loss: 27.400814613327384, taining accuracy: 0.8865374112506826, validation accuracy: 0.8291905672402804, Test accuracy: 0.8323773103887827 , F1-score: 0.48255813953488375
***********************************************************
**************** EPOCH: 63 ***********************
epoch loss: 25.49865520466119, taining accuracy: 0.8923402512288368, validation accuracy: 0.8597833014659019, Test accuracy: 0.8594646271510517 , F1-score: 0.5056433408577878
***********************************************************
**************** EPOCH: 64 ***********************
epoch loss: 25.52618467528373, taining accuracy: 0.8920671764063354, validation accuracy: 0.8103887826641173, Test accuracy: 0.8167622689611217 , F1-score: 0.456461961503208
***********************************************************
**************** EPOCH: 65 ***********************
epoch loss: 26.83411897253245, taining accuracy: 0.8929546695794648, validation accuracy: 0.8562778840025494, Test accuracy: 0.8540471637985978 , F1-score: 0.5103598691384951
***********************************************************
**************** EPOCH: 66 ***********************
epoch loss: 25.291483626700938, taining accuracy: 0.88701529219006, validation accuracy: 0.8569152326322499, Test accuracy: 0.8597833014659019 , F1-score: 0.5082508250825083
***********************************************************
**************** EPOCH: 67 ***********************
epoch loss: 23.992391011677682, taining accuracy: 0.8967094483888586, validation accuracy: 0.8419375398342893, Test accuracy: 0.8358827278521351 , F1-score: 0.5
***********************************************************
**************** EPOCH: 68 ***********************
epoch loss: 25.552981544286013, taining accuracy: 0.8974604041507374, validation accuracy: 0.8546845124282982, Test accuracy: 0.8438495857233907 , F1-score: 0.5086580086580088
***********************************************************
**************** EPOCH: 69 ***********************
epoch loss: 24.87888051569462, taining accuracy: 0.9012834516657564, validation accuracy: 0.8224984066284258, Test accuracy: 0.8288718929254302 , F1-score: 0.47592067988668557
***********************************************************
**************** EPOCH: 70 ***********************
epoch loss: 26.792833471670747, taining accuracy: 0.892613326051338, validation accuracy: 0.8683875079668578, Test accuracy: 0.8629700446144041 , F1-score: 0.5077844311377245
***********************************************************
**************** EPOCH: 71 ***********************
epoch loss: 27.398196355439723, taining accuracy: 0.8851037684325506, validation accuracy: 0.8377947737412365, Test accuracy: 0.8413001912045889 , F1-score: 0.49652432969215493
***********************************************************
**************** EPOCH: 72 ***********************
epoch loss: 23.866556220222265, taining accuracy: 0.8974604041507374, validation accuracy: 0.8234544295729764, Test accuracy: 0.8291905672402804 , F1-score: 0.46511627906976744
***********************************************************
**************** EPOCH: 73 ***********************
epoch loss: 22.492480465210974, taining accuracy: 0.901419989077007, validation accuracy: 0.8282345442957297, Test accuracy: 0.834289356277884 , F1-score: 0.4635364635364635
***********************************************************
**************** EPOCH: 74 ***********************
epoch loss: 23.689170425757766, taining accuracy: 0.903194975423266, validation accuracy: 0.8393881453154876, Test accuracy: 0.8432122370936902 , F1-score: 0.48565573770491804
***********************************************************
**************** EPOCH: 75 ***********************
epoch loss: 22.54009040654637, taining accuracy: 0.9012834516657564, validation accuracy: 0.8479923518164436, Test accuracy: 0.8581899298916508 , F1-score: 0.48648648648648646
***********************************************************
**************** EPOCH: 76 ***********************
epoch loss: 21.170844526961446, taining accuracy: 0.909202621518296, validation accuracy: 0.8706182281708095, Test accuracy: 0.8677501593371574 , F1-score: 0.5213270142180095
***********************************************************
**************** EPOCH: 77 ***********************
epoch loss: 21.90293593890965, taining accuracy: 0.9091343528126706, validation accuracy: 0.8346080305927343, Test accuracy: 0.8393881453154876 , F1-score: 0.48040201005025124
***********************************************************
**************** EPOCH: 78 ***********************
epoch loss: 20.501042953692377, taining accuracy: 0.909817039868924, validation accuracy: 0.8381134480560867, Test accuracy: 0.8432122370936902 , F1-score: 0.47942386831275724
***********************************************************
**************** EPOCH: 79 ***********************
epoch loss: 21.02032784745097, taining accuracy: 0.9139131622064446, validation accuracy: 0.8288718929254302, Test accuracy: 0.8253664754620778 , F1-score: 0.4810863239573229
***********************************************************
**************** EPOCH: 80 ***********************
epoch loss: 21.39786123484373, taining accuracy: 0.9111141452758056, validation accuracy: 0.8326959847036329, Test accuracy: 0.8387507966857871 , F1-score: 0.4775224775224775
***********************************************************
**************** EPOCH: 81 ***********************
epoch loss: 19.150006849318743, taining accuracy: 0.9165756417258328, validation accuracy: 0.8463989802421925, Test accuracy: 0.8550031867431485 , F1-score: 0.4849785407725322
***********************************************************
**************** EPOCH: 82 ***********************
epoch loss: 19.541091430932283, taining accuracy: 0.9176679410158384, validation accuracy: 0.8588272785213512, Test accuracy: 0.8636073932441045 , F1-score: 0.4878048780487805
***********************************************************
**************** EPOCH: 83 ***********************
epoch loss: 18.028922245604917, taining accuracy: 0.9239486619333698, validation accuracy: 0.854365838113448, Test accuracy: 0.8473550031867432 , F1-score: 0.5016429353778751
***********************************************************
**************** EPOCH: 84 ***********************
epoch loss: 18.793227253947407, taining accuracy: 0.9212861824139814, validation accuracy: 0.8483110261312938, Test accuracy: 0.8588272785213512 , F1-score: 0.48812095032397407
***********************************************************
**************** EPOCH: 85 ***********************
epoch loss: 18.243751927744597, taining accuracy: 0.9216957946477334, validation accuracy: 0.8244104525175271, Test accuracy: 0.8377947737412365 , F1-score: 0.4426395939086294
***********************************************************
**************** EPOCH: 86 ***********************
epoch loss: 18.398945121094584, taining accuracy: 0.9195794647733478, validation accuracy: 0.8521351179094965, Test accuracy: 0.8553218610579987 , F1-score: 0.4866666666666667
***********************************************************
**************** EPOCH: 87 ***********************
epoch loss: 18.36494356021285, taining accuracy: 0.9273620972146368, validation accuracy: 0.8734862970044615, Test accuracy: 0.8718929254302104 , F1-score: 0.5043914680050188
***********************************************************
**************** EPOCH: 88 ***********************
epoch loss: 17.57167993672192, taining accuracy: 0.9282495903877662, validation accuracy: 0.8339706819630338, Test accuracy: 0.8352453792224347 , F1-score: 0.4752275025278058
***********************************************************
**************** EPOCH: 89 ***********************
epoch loss: 16.983767493627965, taining accuracy: 0.9305024576734026, validation accuracy: 0.847036328871893, Test accuracy: 0.8556405353728489 , F1-score: 0.4804347826086956
***********************************************************
**************** EPOCH: 90 ***********************
epoch loss: 16.887858465779573, taining accuracy: 0.931185144729656, validation accuracy: 0.8534098151688974, Test accuracy: 0.854365838113448 , F1-score: 0.4865470852017937
***********************************************************
**************** EPOCH: 91 ***********************
epoch loss: 16.96547824132722, taining accuracy: 0.9296832332058984, validation accuracy: 0.8610579987253028, Test accuracy: 0.8623326959847036 , F1-score: 0.4906103286384977
***********************************************************
**************** EPOCH: 92 ***********************
epoch loss: 16.953569404780865, taining accuracy: 0.929205352266521, validation accuracy: 0.8620140216698534, Test accuracy: 0.8534098151688974 , F1-score: 0.5118912797281993
***********************************************************
**************** EPOCH: 93 ***********************
epoch loss: 17.33341566566378, taining accuracy: 0.9272255598033862, validation accuracy: 0.8537284894837476, Test accuracy: 0.8604206500956023 , F1-score: 0.4777142857142857
***********************************************************
**************** EPOCH: 94 ***********************
epoch loss: 17.454168662894517, taining accuracy: 0.9267476788640088, validation accuracy: 0.861376673040153, Test accuracy: 0.861376673040153 , F1-score: 0.5028702640642939
***********************************************************
**************** EPOCH: 95 ***********************
epoch loss: 15.443439896218479, taining accuracy: 0.9348716548334244, validation accuracy: 0.8575525812619503, Test accuracy: 0.8540471637985978 , F1-score: 0.503901895206243
***********************************************************
**************** EPOCH: 96 ***********************
epoch loss: 16.0534030883573, taining accuracy: 0.935417804478427, validation accuracy: 0.8667941363926067, Test accuracy: 0.8696622052262588 , F1-score: 0.5105882352941176
***********************************************************
**************** EPOCH: 97 ***********************
epoch loss: 14.529837695881724, taining accuracy: 0.9413571818678318, validation accuracy: 0.8301465901848311, Test accuracy: 0.8362014021669854 , F1-score: 0.4652567975830815
Early Stopping @ EPOCH:[96]
***********************************************************
**************** EPOCH: 98 ***********************
epoch loss: 15.68925255862996, taining accuracy: 0.9365783724740578, validation accuracy: 0.882727852135118, Test accuracy: 0.8801784576163161 , F1-score: 0.5221932114882506
***********************************************************
**************** EPOCH: 99 ***********************
epoch loss: 14.198027538135648, taining accuracy: 0.9388995084653194, validation accuracy: 0.848629700446144, Test accuracy: 0.8511790949649458 , F1-score: 0.47502774694783567
***********************************************************
**************** EPOCH: 100 ***********************
epoch loss: 14.87819974240847, taining accuracy: 0.9392408519934462, validation accuracy: 0.8499043977055449, Test accuracy: 0.8527724665391969 , F1-score: 0.47125140924464487
saving the models state...
Testing with CB-Loss function model
Loaded model arch: 
 MIMICDecayCBLossModel(
  (rim_decay_cell): RIMDCell(
    (gamma_x_l): CustomLinear(in_features=104, out_features=104, bias=True)
    (gamma_h_l): CustomLinear(in_features=104, out_features=104, bias=True)
    (input_key_layer): CustomLinear(in_features=104, out_features=64, bias=False)
    (input_value_layer): CustomLinear(in_features=104, out_features=32, bias=False)
    (input_dropout): Dropout(p=0.2694669454300502, inplace=False)
    (rnn): GroupGRUCell(
      (input_hidden): GroupLinear(in_features=136, out_features=312, num_blocks=2, bias=True)
      (hidden_hidden): GroupLinear(in_features=104, out_features=312, num_blocks=2, bias=True)
    )
    (input_query_layer): GroupLinear(in_features=104, out_features=64, num_blocks=2, bias=False)
    (comm_key_layer): GroupLinear(in_features=104, out_features=32, num_blocks=2, bias=False)
    (comm_value_layer): GroupLinear(in_features=104, out_features=104, num_blocks=2, bias=False)
    (comm_query_layer): GroupLinear(in_features=104, out_features=32, num_blocks=2, bias=False)
    (comm_attention_output): GroupLinear(in_features=104, out_features=104, num_blocks=2, bias=False)
    (comm_dropout): Dropout(p=0.12824679075614986, inplace=False)
  )
  (linear_one): Linear(in_features=225, out_features=10, bias=True)
  (linear_two): Linear(in_features=10, out_features=2, bias=True)
  (relu): ReLU()
)
